Phi,V
0.0,-2.9999903818263336
0.0017852477496548564,-2.999994313577376
0.003570495499309713,-3.000007794557594
0.005355743248964569,-3.0000308118311088
0.007140990998619426,-3.000063353409234
0.008926238748274282,-3.000105408235555
0.010711486497929138,-3.000156966170668
0.012496734247583996,-3.0002180179765734
0.014281981997238851,-3.000288555300763
0.01606722974689371,-3.0003685706599947
0.017852477496548565,-3.000458057423785
0.01963772524620342,-3.000557009797623
0.021422972995858276,-3.0006654228059375
0.023208220745513132,-3.0007832922748108
0.02499346849516799,-3.0009106148144715
0.026778716244822847,-3.0010473878015844
0.028563963994477703,-3.0011936093613283
0.03034921174413256,-3.0013492783493136
0.03213445949378742,-3.0015143943333196
0.033919707243442274,-3.0016889575748946
0.03570495499309713,-3.001872969010819
0.037490202742751985,-3.002066430234451
0.03927545049240684,-3.00226934347697
0.0410606982420617,-3.002481711588536
0.04284594599171655,-3.0027035380193787
0.04463119374137141,-3.0029348268008227
0.046416441491026264,-3.003175582526286
0.04820168924068113,-3.0034258103322453
0.04998693699033598,-3.0036855158791873
0.05177218473999084,-3.0039547053325784
0.053557432489645694,-3.004233385343841
0.05534268023930055,-3.0045215630313753
0.057127927988955406,-3.0048192459616248
0.05891317573861026,-3.00512644213021
0.06069842348826512,-3.0054431599431393
0.06248367123791997,-3.005769408198115
0.06426891898757484,-3.0061051960659486
0.06605416673722969,-3.006450533072093
0.06783941448688455,-3.00680542907832
0.0696246622365394,-3.007169894264537
0.07140990998619426,-3.007543939110776
0.07319515773584911,-3.007927574379354
0.07498040548550397,-3.0083208110972306
0.07676565323515883,-3.0087236605385583
0.07855090098481368,-3.0091361342074583
0.08033614873446854,-3.0095582438210196
0.0821213964841234,-3.0099900012925427
0.08390664423377825,-3.010431418715027
0.0856918919834331,-3.010882508344943
0.08747713973308796,-3.0113432825862527
0.08926238748274282,-3.011813753974738
0.09104763523239767,-3.01229393516262
0.09283288298205253,-3.0127838389034896
0.09461813073170738,-3.0132834780375486
0.09640337848136225,-3.013792865477189
0.09818862623101711,-3.014312014192907
0.09997387398067197,-3.0148409371995597
0.10175912173032682,-3.015379647542985
0.10354436947998168,-3.0159281582869797
0.10532961722963653,-3.016486482500655
0.10711486497929139,-3.0170546332461643
0.10890011272894624,-3.0176326235668265
0.1106853604786011,-3.018220466475637
0.11247060822825596,-3.0188181749441805
0.11425585597791081,-3.0194257618919504
0.11604110372756567,-3.020043240176075
0.11782635147722052,-3.0206706225814663
0.11961159922687538,-3.0213079218113865
0.12139684697653023,-3.0219551504784308
0.12318209472618509,-3.0226123210959566
0.12496734247583995,-3.023279446069922
0.12675259022549482,-3.0239565376911752
0.12853783797514967,-3.024643608128167
0.13032308572480453,-3.025340669420112
0.13210833347445938,-3.0260477334705733
0.13389358122411424,-3.026764812041499
0.1356788289737691,-3.0274919167476906
0.13746407672342395,-3.028229059051707
0.1392493244730788,-3.028976250259215
0.14103457222273366,-3.0297335015147597
0.14281981997238852,-3.0305008237979862
0.14460506772204337,-3.031278227920276
0.14639031547169823,-3.0320657245218205
0.14817556322135308,-3.0328633240691154
0.14996081097100794,-3.0336710368528728
0.1517460587206628,-3.034488872986356
0.15353130647031765,-3.0353168424041117
0.1553165542199725,-3.0361549548611215
0.15710180196962736,-3.0370032199323385
0.15888704971928222,-3.037861647012625
0.16067229746893708,-3.0387302453170757
0.16245754521859193,-3.0396090238817046
0.1642427929682468,-3.040497991564524
0.16602804071790164,-3.0413971570469664
0.1678132884675565,-3.042306528835664
0.16959853621721135,-3.043226115264578
0.1713837839668662,-3.0441559244974545
0.17316903171652107,-3.045095964530608
0.17495427946617592,-3.0460462431960194
0.17673952721583078,-3.047006768164737
0.17852477496548563,-3.0479775469505666
0.1803100227151405,-3.0489585869140496
0.18209527046479534,-3.0499498952667072
0.1838805182144502,-3.050951479075543
0.18566576596410506,-3.051963345267793
0.1874510137137599,-3.05298550063591
0.18923626146341477,-3.0540179518427717
0.19102150921306965,-3.055060705427091
0.1928067569627245,-3.056113767809038
0.19459200471237936,-3.0571771452960292
0.19637725246203422,-3.0582508440887004
0.19816250021168907,-3.059334870287036
0.19994774796134393,-3.060429229896638
0.20173299571099879,-3.0615339288351366
0.20351824346065364,-3.0626489729387174
0.2053034912103085,-3.063774367968752
0.20708873895996335,-3.064910119618531
0.2088739867096182,-3.066056233520075
0.21065923445927306,-3.0672127152510145
0.21244448220892792,-3.0683795703415306
0.21422972995858278,-3.0695568042813384
0.21601497770823763,-3.070744422526707
0.2178002254578925,-3.0719424305075003
0.21958547320754734,-3.07315083363423
0.2213707209572022,-3.07436963730511
0.22315596870685706,-3.0755988469130946
0.2249412164565119,-3.0768384678529115
0.22672646420616677,-3.0780885055280462
0.22851171195582162,-3.079348965357703
0.23029695970547648,-3.0806198527837143
0.23208220745513133,-3.081901173277388
0.2338674552047862,-3.0831929323463054
0.23565270295444105,-3.084495135541037
0.2374379507040959,-3.0858077884617856
0.23922319845375076,-3.0871308967649553
0.2410084462034056,-3.088464466169623
0.24279369395306047,-3.0898085024639244
0.24457894170271532,-3.0911630115113433
0.24636418945237018,-3.092527999256907
0.24814943720202504,-3.0939034717332756
0.2499346849516799,-3.0952894350667357
0.25171993270133475,-3.0966858954830903
0.25350518045098963,-3.0980928593134456
0.25529042820064446,-3.0995103329998983
0.25707567595029934,-3.1009383231011287
0.25886092369995417,-3.102376836297888
0.26064617144960905,-3.103825879398401
0.2624314191992639,-3.1052854593436807
0.26421666694891877,-3.106755583212755
0.2660019146985736,-3.1082362582278193
